ticker,close,pct_change_1w,avg_volume_5d,listing
HWM,178.2,1.16,1924300,USD
DOW,24.5,1.16,12515480,USD
CP.TO,106.17,1.16,1718880,CAD
PFE,24.88,1.14,37799420,USD
IBM,248.53,1.14,3502160,USD
WDAY,231.08,1.13,3292300,USD
TRP.TO,71.83,1.13,3794120,CAD
SW,46.91,1.12,3654600,USD
AON,370.54,1.09,964080,USD
NCLH,25.66,1.06,14482380,USD
MCK,687.4,1.06,652180,USD
VRTX,396.12,1.04,1328860,USD
ELV,313.64,1.04,2279960,USD
TSN,56.2,1.04,2502640,USD
MCHP,65.92,1.03,8333040,USD
MDT,92.9,1.02,5837700,USD
VZ,44.38,1.02,17125840,USD
CMCSA,33.91,1.01,20797980,USD
WRB,71.96,1.01,1414960,USD
NFLX,1243.82,1.0,2677360,USD
GIB-A.TO,133.93,0.95,320600,CAD
PLD,113.65,0.9,2930520,USD
COR,292.5,0.9,1211960,USD
AEE,100.63,0.89,1349980,USD
MAA,145.4,0.88,633200,USD
GPC,139.5,0.87,1584840,USD
IFC.TO,278.33,0.87,266740,CAD
OTIS,87.0,0.87,2222800,USD
MPWR,865.86,0.86,486980,USD
ODFL,150.71,0.86,2027040,USD
VTRS,10.5,0.86,7259060,USD
IR,80.95,0.86,2353340,USD
ORLY,104.84,0.82,3514840,USD
KEYS,167.9,0.82,950340,USD
HST,17.43,0.81,7514780,USD
CNP,37.78,0.8,5505800,USD
BAX,24.42,0.78,7782680,USD
DD,77.82,0.78,2818960,USD
AFL,106.93,0.78,2505120,USD
MDLZ,61.74,0.75,7002160,USD
WTW,329.27,0.74,459360,USD
QSR.TO,87.36,0.74,506080,CAD
MNST,62.46,0.71,4236080,USD
INTU,672.82,0.69,1718820,USD
SYK,392.31,0.68,969160,USD
PFG,79.98,0.68,1240640,USD
PCG,15.09,0.67,16761260,USD
MFC.TO,42.48,0.66,6807440,CAD
TYL,559.96,0.66,261120,USD
ZBH,105.73,0.64,996340,USD
ATO,166.48,0.63,834420,USD
RMD,277.05,0.61,1257380,USD
BDX,192.39,0.6,1821500,USD
HSIC,69.43,0.58,1245400,USD
TMO,492.6,0.58,1319580,USD
BF-B,28.91,0.58,3829820,USD
PEP,146.39,0.57,9979300,USD
CPT,111.36,0.56,803820,USD
EVRG,71.6,0.55,2376060,USD
BMY,47.14,0.55,9487460,USD
VTR,67.91,0.55,2288840,USD
MPC,180.28,0.55,1788220,USD
AZO,4219.41,0.53,90320,USD
ALLE,171.86,0.52,731080,USD
ROL,56.52,0.5,1366300,USD
MG.TO,63.55,0.49,786740,CAD
SNA,328.7,0.48,206720,USD
CMS,71.55,0.48,1682260,USD
AWK,143.6,0.47,985100,USD
XEL,72.68,0.47,4436080,USD
CRL,163.99,0.47,688920,USD
ADM,62.94,0.45,2994820,USD
KR,67.75,0.43,6151960,USD
WBD,12.11,0.41,63284260,USD
AVB,195.41,0.41,747180,USD
LKQ,32.38,0.4,3221260,USD
AME,187.45,0.39,963960,USD
TEL,208.74,0.34,1470040,USD
AMZN,232.33,0.32,38070480,USD
USB,48.8,0.27,8212920,USD
VICI,33.6,0.27,6924920,USD
BCE.TO,34.23,0.26,2492260,CAD
F,11.74,0.26,46035880,USD
WELL,167.82,0.25,2261800,USD
DIS,117.91,0.23,6226980,USD
UDR,39.09,0.23,3178200,USD
IRM,92.18,0.23,1463280,USD
STE,245.3,0.22,466660,USD
AKAM,78.56,0.22,1773360,USD
HOLX,66.76,0.21,1262480,USD
MO,66.55,0.2,6379340,USD
KHC,27.29,0.18,22814160,USD
META,752.45,0.18,9443480,USD
ITW,266.24,0.18,760640,USD
APTV,80.44,0.17,2502960,USD
NDSN,225.03,0.16,252800,USD
EBAY,92.66,0.16,5926680,USD
TECH,54.41,0.15,1989560,USD
CTSH,71.82,0.14,3320900,USD
MTB,199.57,0.13,928160,USD
SWKS,75.2,0.13,2256500,USD
H.TO,49.99,0.12,781440,CAD
L,96.64,0.12,651400,USD
JBL,210.1,0.11,1422100,USD
EXPE,214.95,0.11,1204840,USD
ACGL,91.29,0.1,1782700,USD
SOLV,72.72,0.08,824640,USD
ESS,268.12,0.08,402460,USD
AJG,299.18,0.07,1497600,USD
DTE,136.6,0.07,957320,USD
FITB,45.62,0.04,3761980,USD
EG,340.0,0.04,342240,USD
CAH,149.56,0.03,2045040,USD
BKR,45.58,0.02,6473960,USD
CSX,32.53,0.0,12726620,USD
JKHY,162.24,0.0,694140,USD
BRK-B,499.77,-0.02,4008620,USD
NSC,277.75,-0.02,1514500,USD
HIG,131.67,-0.02,1475880,USD
QCOM,159.84,-0.03,7907720,USD
